Bus_Name,Service_Name,Departure_Time,Arrival_Time,Duration,Fare
Jabbar  Travels ,Volvo A/C Multi Axle SemiSleeper (2+2),12:00,16:30,04h 30m,465,
Jabbar  Travels ,Volvo A/C Multi Axle SemiSleeper (2+2),23:00,20:30,0-3h 0-30m,475,
National  travels ,Volvo B11R MultiAxle SemiSleeper Auto Trans.(2+2),23:45,03:30,03h 45m,500,
BTM Travels ,A/C Sleeper (2+1),23:00,03:00,04h 00m,500,
Jabbar  Travels ,Non A/C Sleeper  (2+1),22:45,03:00,04h 15m,450,
Golden     Travels ,Volvo A/C Semi Sleeper (2+2),23:00,03:00,04h 00m,555,
Venkteshwara  Travels  ,A/C Sleeper (2+1),06:00,09:45,03h 45m,600,
National  travels ,A/C Sleeper (2+1),22:30,03:00,04h 30m,750,
National  travels ,Volvo B11R MultiAxle SemiSleeper Auto Trans.(2+2),13:15,19:15,06h 00m,530,
SRM Transports ,Volvo A/C Multi Axle Semi Sleeper (2+2),13:30,17:45,04h 15m,460,
UST BUS ,A/c Sleeper (2+1),06:30,11:45,05h 15m,666,
